category,method,runs,succes,taux_succes,iterations_median,cpu_median_s,eval_total_median,grad_norm_median
A,Cauchy_Point,75,8,10.666666666666668,1000.0,0.1746351000037975,4002.0,0.3920259751684565
A,Dogleg,75,62,82.66666666666667,6.0,0.0449837000051047,27.0,4.7712620250433276e-11
A,Steihaug_CG,75,62,82.66666666666667,22.0,0.0167236999986926,91.0,4.77295624959923e-08
A,BFGS_Armijo,75,47,62.66666666666667,111.0,0.0730537000054027,1293.0,7.343219827427535e-07
A,BFGS_Wolfe,75,51,68.0,52.0,0.0427629000041633,696.0,8.719668316345718e-07
A,Newton_BT,75,60,80.0,7.0,0.0065935000020544,40.0,1.000266576994362e-09
B,Cauchy_Point,55,34,61.81818181818181,78.0,0.1517241999972611,315.0,9.57127604083295e-07
B,Dogleg,55,45,81.81818181818183,9.0,0.1384863999992376,39.0,1.2004830944831715e-10
B,Steihaug_CG,55,49,89.0909090909091,12.0,0.0321338000067044,51.0,1.550219064228031e-08
B,BFGS_Armijo,55,41,74.54545454545455,27.0,0.054864899997483,165.0,3.382112416059261e-07
B,BFGS_Wolfe,55,36,65.45454545454545,21.0,0.0448391000099945,208.0,3.076823708614914e-07
B,Newton_BT,55,44,80.0,5.0,0.0327851000038208,28.0,2.1788035597292403e-10
C,Cauchy_Point,50,24,48.0,1000.0,0.0626209499969263,4002.0,1.1661197507015989e-06
C,Dogleg,50,25,50.0,531.5,0.11925900000642281,2128.5,1.0219406539262037e-06
C,Steihaug_CG,50,29,57.99999999999999,52.5,0.026499949992285048,213.0,7.181826009724948e-07
C,BFGS_Armijo,50,25,50.0,309.5,0.07856755000102565,1775.5,6.689829159616868e-07
C,BFGS_Wolfe,50,13,26.0,19.0,0.02754719999938965,145.5,2.3313362208552323e-06
C,Newton_BT,50,38,76.0,17.5,0.014613800005463352,145.5,2.7261797085506776e-08
